No,Time,Event,C:None,C:class-78...,C:class-91...,C:class-9a...,C:class-a1...,C:class-c6...,I:car-1,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:instance...,I:tomato-1
84,11:08:44,instance_selected,,,📝 instance_selected,,,,,,,,,,,,,,,,,,,
85,11:08:46,instance_selected,,,📝 instance_selected,,,,,,,,,,,,,,,,,,,
86,11:09:57,instance_selected,,,,,,,,,,,,,,,,,,,,,,
87,11:09:59,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
88,11:10:10,instance.updated,,,,,,,,,,,,,,,,,,,,,,
89,11:10:10,instance_selected,,,,,,,,,,,,,,,,,,,,,,
90,11:12:45,instance_selected,,,,,,,,,,,,,,,,,,,,,,
91,11:12:48,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
92,11:13:20,instance.updated,,,,,,,,,,,,,,,,,,,,,,
93,11:13:20,instance_selected,,,,,,,,,,,,,,,,,,,,,,
94,11:13:22,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
95,11:15:42,instance.updated,,,,,,,,,,,,,,,,,,,,,,
96,11:15:42,instance_selected,,,,,,,,,,,,,,,,,,,,,,
97,11:15:44,class.create.started,,,,,,,,,,,,,,,,,,,,,,
98,11:15:47,class.created,,,,🎭 Created (7p),,,,,,,,,,,,,,,,,,
99,11:15:47,instance_selected,,,,📝 instance_selected,,,,,,,,,,,,,,,,,,
100,11:15:48,class_library_toggle,,,,,,,,,,,,,,,,,,,,,,
101,11:15:49,class_detail_opened,,,,📝 class_detail_opened,,,,,,,,,,,,,,,,,,
102,11:16:28,instance.create_from_class.started,,,,📝 instance.create_from_class.started,,,,,,,,,,,,,,,,,,
103,11:16:29,instance.created_from_class,,,,🎭➡️ Created Player,,,,,,,,,,,,,,,,,,
104,11:16:29,instance_selected,,,,📝 instance_selected,,,,,,,,,,,,,,,,,,
105,11:16:48,instance.create_from_class.started,,,,📝 instance.create_from_class.started,,,,,,,,,,,,,,,,,,
106,11:16:49,instance.created_from_class,,,,🎭➡️ Created Player,,,,,,,,,,,,,,,,,,
107,11:16:50,instance_selected,,,,📝 instance_selected,,,,,,,,,,,,,,,,,,
108,11:17:11,instance.create_from_class.started,,,,📝 instance.create_from_class.started,,,,,,,,,,,,,,,,,,
109,11:17:13,instance.created_from_class,,,,🎭➡️ Created Player,,,,,,,,,,,,,,,,,,
110,11:17:13,instance_selected,,,,📝 instance_selected,,,,,,,,,,,,,,,,,,
111,11:17:30,instance_selected,,,,📝 instance_selected,,,,,,,,,,,,,,,,,,
112,11:17:48,instance_selected,,,,📝 instance_selected,,,,,,,,,,,,,,,,,,
113,11:18:04,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
114,11:18:18,instance.updated,,,,,,,,,,,,,,,,,,,,,,
115,11:18:18,instance_selected,,,,📝 instance_selected,,,,,,,,,,,,,,,,,,
116,11:18:22,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
117,11:18:36,instance.updated,,,,,,,,,,,,,,,,,,,,,,
118,11:18:36,instance_selected,,,,📝 instance_selected,,,,,,,,,,,,,,,,,,
119,11:18:38,instance_deselected,,,,,,,,,,,,,,,,,,,,,,
120,11:18:41,instance.edit.started,,,,,,,,,,,,,,,,,,,,,,
121,11:18:55,instance.updated,,,,,,,,,,,,,,,,,,,,,,
122,11:19:03,instance_selected,,,,📝 instance_selected,,,,,,,,,,,,,,,,,,
123,11:20:59,class_detail_opened,,,,📝 class_detail_opened,,,,,,,,,,,,,,,,,,
124,11:21:23,object_node.edit.started,,,,,,,,,,,,,,,,,,,,,,
